"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 18:46:48 GMT 2023","Fri Feb 17 18:46:51 GMT 2023","3103","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Fri Feb 17 18:41:13 GMT 2023","Fri Feb 17 18:41:19 GMT 2023","5998","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"broken","Fri Feb 17 18:41:21 GMT 2023","Fri Feb 17 18:42:21 GMT 2023","60003","","Testing My Cart page in Telnyx Customer Portal","","Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal",""
"passed","Fri Feb 17 18:46:09 GMT 2023","Fri Feb 17 18:46:10 GMT 2023","364","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Fri Feb 17 18:46:58 GMT 2023","Fri Feb 17 18:47:01 GMT 2023","2960","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"broken","Fri Feb 17 18:46:36 GMT 2023","Fri Feb 17 18:46:47 GMT 2023","10178","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"passed","Fri Feb 17 18:40:19 GMT 2023","Fri Feb 17 18:40:23 GMT 2023","4073","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Fri Feb 17 18:42:03 GMT 2023","Fri Feb 17 18:42:15 GMT 2023","12563","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Fri Feb 17 18:43:28 GMT 2023","Fri Feb 17 18:44:36 GMT 2023","68199","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Fri Feb 17 18:42:23 GMT 2023","Fri Feb 17 18:42:25 GMT 2023","2992","","Testing the Ooma page","","Testing the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"broken","Fri Feb 17 18:44:36 GMT 2023","Fri Feb 17 18:45:36 GMT 2023","60003","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Fri Feb 17 18:45:11 GMT 2023","Fri Feb 17 18:45:14 GMT 2023","3546","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"broken","Fri Feb 17 18:42:27 GMT 2023","Fri Feb 17 18:43:08 GMT 2023","41659","","Testing the Pricing page in Telnyx Customer Portal","","Testing the Pricing page in Telnyx Customer Portal","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Fri Feb 17 18:41:48 GMT 2023","Fri Feb 17 18:41:52 GMT 2023","3891","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Fri Feb 17 18:40:24 GMT 2023","Fri Feb 17 18:40:52 GMT 2023","28404","","Testing the Demo Video App page in Telnyx Customer Portal","","Testing the Demo Video App page in Telnyx Customer Portal","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"passed","Fri Feb 17 18:43:10 GMT 2023","Fri Feb 17 18:43:13 GMT 2023","2766","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Fri Feb 17 18:42:15 GMT 2023","Fri Feb 17 18:42:20 GMT 2023","4577","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Fri Feb 17 18:45:33 GMT 2023","Fri Feb 17 18:45:36 GMT 2023","3017","","Testing the Talk to an Expert page","","Testing the Talk to an Expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Fri Feb 17 18:43:24 GMT 2023","Fri Feb 17 18:43:27 GMT 2023","2857","","Testing the Talk to an Expert page","","Testing the Talk to an Expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Fri Feb 17 18:46:10 GMT 2023","Fri Feb 17 18:46:13 GMT 2023","3221","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Fri Feb 17 18:45:36 GMT 2023","Fri Feb 17 18:46:36 GMT 2023","60002","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"passed","Fri Feb 17 18:45:07 GMT 2023","Fri Feb 17 18:45:11 GMT 2023","3863","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Fri Feb 17 18:45:03 GMT 2023","Fri Feb 17 18:45:07 GMT 2023","4442","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Fri Feb 17 18:47:01 GMT 2023","Fri Feb 17 18:47:22 GMT 2023","20226","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Fri Feb 17 18:40:54 GMT 2023","Fri Feb 17 18:40:57 GMT 2023","3720","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Fri Feb 17 18:41:03 GMT 2023","Fri Feb 17 18:41:34 GMT 2023","30638","","Testing the Demo Video App page in Telnyx Customer Portal","","Testing the Demo Video App page in Telnyx Customer Portal","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"passed","Fri Feb 17 18:43:18 GMT 2023","Fri Feb 17 18:43:20 GMT 2023","2651","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"broken","Fri Feb 17 18:42:33 GMT 2023","Fri Feb 17 18:43:33 GMT 2023","60013","","Testing My Cart page in Telnyx Customer Portal","","Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal",""
"passed","Fri Feb 17 18:46:18 GMT 2023","Fri Feb 17 18:46:30 GMT 2023","11040","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
