"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 10:50:57 GMT 2023","Fri Feb 17 10:51:02 GMT 2023","4779","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Fri Feb 17 10:53:01 GMT 2023","Fri Feb 17 10:53:06 GMT 2023","5261","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Fri Feb 17 10:53:10 GMT 2023","Fri Feb 17 10:53:13 GMT 2023","2970","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Fri Feb 17 10:53:56 GMT 2023","Fri Feb 17 10:53:56 GMT 2023","311","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Fri Feb 17 10:53:46 GMT 2023","Fri Feb 17 10:53:56 GMT 2023","10187","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Fri Feb 17 10:49:32 GMT 2023","Fri Feb 17 10:49:36 GMT 2023","4693","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Fri Feb 17 10:52:01 GMT 2023","Fri Feb 17 10:52:38 GMT 2023","36874","","Testing the Pricing page in Telnyx Customer Portal","","Testing the Pricing page in Telnyx Customer Portal","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"broken","Fri Feb 17 10:53:35 GMT 2023","Fri Feb 17 10:54:35 GMT 2023","60001","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Fri Feb 17 10:52:46 GMT 2023","Fri Feb 17 10:52:50 GMT 2023","3506","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"broken","Fri Feb 17 10:50:21 GMT 2023","Fri Feb 17 10:51:21 GMT 2023","60003","","Testing My Cart page in Telnyx Customer Portal","","Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal",""
