"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 18:52:16 GMT 2023","Mon Feb 13 18:52:23 GMT 2023","6132","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"passed","Mon Feb 13 18:54:27 GMT 2023","Mon Feb 13 18:54:30 GMT 2023","3141","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Mon Feb 13 18:53:01 GMT 2023","Mon Feb 13 18:53:04 GMT 2023","3420","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Mon Feb 13 18:55:33 GMT 2023","Mon Feb 13 18:55:54 GMT 2023","21161","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Mon Feb 13 18:55:28 GMT 2023","Mon Feb 13 18:55:33 GMT 2023","4430","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Mon Feb 13 18:54:06 GMT 2023","Mon Feb 13 18:54:10 GMT 2023","3429","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Mon Feb 13 18:55:01 GMT 2023","Mon Feb 13 18:55:12 GMT 2023","11341","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"passed","Mon Feb 13 18:51:13 GMT 2023","Mon Feb 13 18:51:19 GMT 2023","6040","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Mon Feb 13 18:53:27 GMT 2023","Mon Feb 13 18:53:34 GMT 2023","6562","","Testing the Pricing page","","Testing the Pricing page","""before all"" hook for Testing the Pricing page","""before all"" hook for Testing the Pricing page",""
"passed","Mon Feb 13 18:51:22 GMT 2023","Mon Feb 13 18:51:26 GMT 2023","3947","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
