"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 10:31:53 GMT 2023","Wed Feb 15 10:31:57 GMT 2023","4873","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Wed Feb 15 10:33:54 GMT 2023","Wed Feb 15 10:34:14 GMT 2023","20191","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"broken","Wed Feb 15 10:28:08 GMT 2023","Wed Feb 15 10:29:08 GMT 2023","60003","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"passed","Wed Feb 15 10:30:10 GMT 2023","Wed Feb 15 10:30:13 GMT 2023","3073","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"broken","Wed Feb 15 10:33:39 GMT 2023","Wed Feb 15 10:33:49 GMT 2023","10156","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"broken","Wed Feb 15 10:35:55 GMT 2023","Wed Feb 15 10:36:05 GMT 2023","10059","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"broken","Wed Feb 15 10:35:45 GMT 2023","Wed Feb 15 10:35:55 GMT 2023","10104","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"passed","Wed Feb 15 10:36:23 GMT 2023","Wed Feb 15 10:36:27 GMT 2023","3876","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"broken","Wed Feb 15 10:31:29 GMT 2023","Wed Feb 15 10:32:29 GMT 2023","60002","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Wed Feb 15 10:27:49 GMT 2023","Wed Feb 15 10:27:53 GMT 2023","4850","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Wed Feb 15 10:31:57 GMT 2023","Wed Feb 15 10:32:01 GMT 2023","4017","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Wed Feb 15 10:36:27 GMT 2023","Wed Feb 15 10:36:47 GMT 2023","20506","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Wed Feb 15 10:27:38 GMT 2023","Wed Feb 15 10:27:49 GMT 2023","11053","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Wed Feb 15 10:29:20 GMT 2023","Wed Feb 15 10:30:00 GMT 2023","40074","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"broken","Wed Feb 15 10:29:24 GMT 2023","Wed Feb 15 10:30:26 GMT 2023","61921","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"passed","Wed Feb 15 10:30:13 GMT 2023","Wed Feb 15 10:30:16 GMT 2023","2841","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Wed Feb 15 10:30:01 GMT 2023","Wed Feb 15 10:30:04 GMT 2023","3189","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"broken","Wed Feb 15 10:32:29 GMT 2023","Wed Feb 15 10:33:29 GMT 2023","60001","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Wed Feb 15 10:33:29 GMT 2023","Wed Feb 15 10:33:39 GMT 2023","10277","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Wed Feb 15 10:30:53 GMT 2023","Wed Feb 15 10:31:31 GMT 2023","38158","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"broken","Wed Feb 15 10:34:45 GMT 2023","Wed Feb 15 10:35:45 GMT 2023","60002","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Wed Feb 15 10:27:12 GMT 2023","Wed Feb 15 10:27:12 GMT 2023","315","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"broken","Wed Feb 15 10:32:38 GMT 2023","Wed Feb 15 10:33:45 GMT 2023","67014","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Wed Feb 15 10:27:24 GMT 2023","Wed Feb 15 10:27:28 GMT 2023","4634","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"passed","Wed Feb 15 10:33:51 GMT 2023","Wed Feb 15 10:33:54 GMT 2023","2896","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Wed Feb 15 10:26:23 GMT 2023","Wed Feb 15 10:26:26 GMT 2023","3562","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Wed Feb 15 10:31:38 GMT 2023","Wed Feb 15 10:31:41 GMT 2023","3572","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Wed Feb 15 10:26:56 GMT 2023","Wed Feb 15 10:26:59 GMT 2023","3612","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Wed Feb 15 10:27:09 GMT 2023","Wed Feb 15 10:27:17 GMT 2023","8257","","Testing the Demo Video App page","","Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page",""
"passed","Wed Feb 15 10:30:06 GMT 2023","Wed Feb 15 10:30:10 GMT 2023","4264","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Wed Feb 15 10:32:01 GMT 2023","Wed Feb 15 10:32:05 GMT 2023","3268","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
