"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 13:04:16 GMT 2023","Wed Feb 15 13:04:20 GMT 2023","3904","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Wed Feb 15 13:04:27 GMT 2023","Wed Feb 15 13:04:30 GMT 2023","2708","","Testing the Talk to an Expert page","","Testing the Talk to an Expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Wed Feb 15 13:04:20 GMT 2023","Wed Feb 15 13:04:23 GMT 2023","3122","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Wed Feb 15 12:59:13 GMT 2023","Wed Feb 15 12:59:16 GMT 2023","3347","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Wed Feb 15 13:02:11 GMT 2023","Wed Feb 15 13:03:17 GMT 2023","65870","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Wed Feb 15 13:03:57 GMT 2023","Wed Feb 15 13:04:02 GMT 2023","5054","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Wed Feb 15 13:05:42 GMT 2023","Wed Feb 15 13:06:02 GMT 2023","20134","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"broken","Wed Feb 15 13:05:49 GMT 2023","Wed Feb 15 13:06:49 GMT 2023","60001","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"broken","Wed Feb 15 13:00:05 GMT 2023","Wed Feb 15 13:01:05 GMT 2023","60005","","Testing My Cart page in Telnyx Customer Portal","","Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal",""
"broken","Wed Feb 15 13:01:20 GMT 2023","Wed Feb 15 13:01:31 GMT 2023","10181","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Wed Feb 15 13:01:53 GMT 2023","Wed Feb 15 13:01:56 GMT 2023","2917","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"broken","Wed Feb 15 13:00:13 GMT 2023","Wed Feb 15 13:00:42 GMT 2023","28905","","Testing the Demo Video App page in Telnyx Customer Portal","","Testing the Demo Video App page in Telnyx Customer Portal","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"broken","Wed Feb 15 13:03:17 GMT 2023","Wed Feb 15 13:04:17 GMT 2023","60002","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"broken","Wed Feb 15 12:59:18 GMT 2023","Wed Feb 15 12:59:44 GMT 2023","26215","","Testing the Demo Video App page in Telnyx Customer Portal","","Testing the Demo Video App page in Telnyx Customer Portal","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"broken","Wed Feb 15 13:01:42 GMT 2023","Wed Feb 15 13:02:42 GMT 2023","60004","","Testing My Cart page in Telnyx Customer Portal","","Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal","""before all"" hook for Testing My Cart page in Telnyx Customer Portal",""
"passed","Wed Feb 15 12:59:50 GMT 2023","Wed Feb 15 12:59:57 GMT 2023","6511","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Wed Feb 15 13:07:49 GMT 2023","Wed Feb 15 13:07:59 GMT 2023","10103","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Wed Feb 15 13:00:04 GMT 2023","Wed Feb 15 13:00:04 GMT 2023","146","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"broken","Wed Feb 15 13:05:17 GMT 2023","Wed Feb 15 13:05:27 GMT 2023","10259","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"passed","Wed Feb 15 13:02:07 GMT 2023","Wed Feb 15 13:02:10 GMT 2023","2658","","Testing the Talk to an Expert page","","Testing the Talk to an Expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"broken","Wed Feb 15 13:05:27 GMT 2023","Wed Feb 15 13:05:38 GMT 2023","10182","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"passed","Wed Feb 15 13:01:57 GMT 2023","Wed Feb 15 13:02:01 GMT 2023","4081","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Wed Feb 15 13:01:07 GMT 2023","Wed Feb 15 13:01:10 GMT 2023","2769","","Testing the Ooma page","","Testing the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"broken","Wed Feb 15 13:04:42 GMT 2023","Wed Feb 15 13:05:49 GMT 2023","67098","","Testing Telnyx Customer Portal page","","Testing Telnyx Customer Portal page","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
