"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 15 07:16:27 GMT 2023","Wed Feb 15 07:17:04 GMT 2023","37503","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Wed Feb 15 07:17:27 GMT 2023","Wed Feb 15 07:17:31 GMT 2023","4483","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Wed Feb 15 07:15:21 GMT 2023","Wed Feb 15 07:15:24 GMT 2023","3048","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Wed Feb 15 07:12:22 GMT 2023","Wed Feb 15 07:12:34 GMT 2023","12294","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"passed","Wed Feb 15 07:17:35 GMT 2023","Wed Feb 15 07:17:38 GMT 2023","3132","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Wed Feb 15 07:12:12 GMT 2023","Wed Feb 15 07:12:18 GMT 2023","6632","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Wed Feb 15 07:13:57 GMT 2023","Wed Feb 15 07:14:57 GMT 2023","60003","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"passed","Wed Feb 15 07:15:26 GMT 2023","Wed Feb 15 07:15:29 GMT 2023","3969","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Wed Feb 15 07:17:12 GMT 2023","Wed Feb 15 07:17:15 GMT 2023","3341","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Wed Feb 15 07:17:57 GMT 2023","Wed Feb 15 07:18:00 GMT 2023","3140","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"broken","Wed Feb 15 07:20:19 GMT 2023","Wed Feb 15 07:21:19 GMT 2023","60002","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Wed Feb 15 07:11:48 GMT 2023","Wed Feb 15 07:12:14 GMT 2023","26406","","Testing the Demo Video App page","","Testing the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"broken","Wed Feb 15 07:19:19 GMT 2023","Wed Feb 15 07:20:19 GMT 2023","60002","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"broken","Wed Feb 15 07:12:37 GMT 2023","Wed Feb 15 07:13:37 GMT 2023","60003","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"passed","Wed Feb 15 07:13:12 GMT 2023","Wed Feb 15 07:13:16 GMT 2023","3915","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Wed Feb 15 07:21:29 GMT 2023","Wed Feb 15 07:21:39 GMT 2023","10054","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"passed","Wed Feb 15 07:19:11 GMT 2023","Wed Feb 15 07:19:32 GMT 2023","20185","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Wed Feb 15 07:11:42 GMT 2023","Wed Feb 15 07:11:46 GMT 2023","4117","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Wed Feb 15 07:21:57 GMT 2023","Wed Feb 15 07:22:00 GMT 2023","3133","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"broken","Wed Feb 15 07:16:47 GMT 2023","Wed Feb 15 07:17:47 GMT 2023","60002","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Wed Feb 15 07:13:41 GMT 2023","Wed Feb 15 07:13:47 GMT 2023","5916","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"broken","Wed Feb 15 07:17:47 GMT 2023","Wed Feb 15 07:18:47 GMT 2023","60002","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"passed","Wed Feb 15 07:15:36 GMT 2023","Wed Feb 15 07:15:39 GMT 2023","2757","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"broken","Wed Feb 15 07:18:47 GMT 2023","Wed Feb 15 07:18:57 GMT 2023","10171","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Wed Feb 15 07:13:40 GMT 2023","Wed Feb 15 07:14:42 GMT 2023","62284","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"passed","Wed Feb 15 07:13:27 GMT 2023","Wed Feb 15 07:13:41 GMT 2023","13871","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Wed Feb 15 07:18:57 GMT 2023","Wed Feb 15 07:19:07 GMT 2023","10165","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"broken","Wed Feb 15 07:15:12 GMT 2023","Wed Feb 15 07:16:14 GMT 2023","61984","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"broken","Wed Feb 15 07:14:43 GMT 2023","Wed Feb 15 07:15:20 GMT 2023","36377","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Wed Feb 15 07:19:08 GMT 2023","Wed Feb 15 07:19:11 GMT 2023","2875","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"broken","Wed Feb 15 07:12:27 GMT 2023","Wed Feb 15 07:12:57 GMT 2023","29722","","Testing the Demo Video App page","","Testing the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"broken","Wed Feb 15 07:15:40 GMT 2023","Wed Feb 15 07:16:47 GMT 2023","66457","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
